STATE_INITIAL,STATE_FIPS,average_well_depth_ft,average_depth_water_ft,average_pumping_gpm
AL,1,177,61,302
AK,2,80,33,92
AZ,4,392,146,732
AR,5,128,50,1362
CA,6,354,114,680
CO ,8,189,83,775
CT,9,212,72,114
DE,10,99,27,633
DC,11,0,0,100
FL,12,324,84,679
GA,13,381,131,554
HI,15,435,160,1567
ID,16,297,149,1241
IL,17,117,38,772
IN,18,95,31,596
IA,19,109,29,642
KS,20,219,103,605
KY,21,112,43,473
LA,22,128,54,1560
ME,23,215,66,266
MD,24,138,44,327
MA,25,147,54,131
MI,26,105,39,378
MN,27,131,45,570
MS,28,121,48,1760
MO,29,121,30,1343
MT,30,137,43,254
NE,31,194,68,763
NV,32,367,104,1145
NH,33,259,85,76
NJ,34,151,50,292
NM,35,250,106,544
NY,36,131,49,213
NC,37,201,69,100
ND,38,84,29,609
OH,39,110,39,131
OK,40,219,84,408
OR,41,202,71,380
PA,42,240,86,42
RI,44,114,42,44
SC,45,281,71,296
SD,46,106,38,686
TN,47,190,63,581
TX,48,276,146,208
UT,49,296,94,1251
VT,50,238,73,69
VA,51,278,97,56
WA,53,291,110,483
WV,54,220,83,41
WI,55,149,49,634
WY,56,268,94,839
