pwsid,pwsname,fips,location_state_name,location_state_abbrev,primacytype,primacyagency,eparegion,primarysource,populationservedcount,serviceconnectionscount,pwstype
"100211202","METLAKATLA",2198,"","","Tribal","EPA Region 10","Region 10","Surface water",1419,567,"Community water system"
"101612109","FORT HALL",16011,"Idaho","ID","Tribal","EPA Region 10","Region 10","Ground water",3500,530,"Community water system"
"101612110","PLUMMER TRIBAL COMMUNITY",16009,"Idaho","ID","Tribal","EPA Region 10","Region 10","Ground water",515,5,"Community water system"
"104101247","WARM SPRINGS WATER TREATMENT PLANT",41065,"Oregon","OR","Tribal","EPA Region 10","Region 10","Surface water",3800,1358,"Community water system"
"104111101","CTUIR PWD/MISSION",41059,"Oregon","OR","Tribal","EPA Region 10","Region 10","Ground water",1200,300,"Community water system"
"105300002","LUMMI TRIBAL WATER DISTRICT",53073,"Washington","WA","Tribal","EPA Region 10","Region 10","Surface water purchased",3669,1032,"Community water system"
"105300003","TULALIP BAY WATER DIST #1",53061,"Washington","WA","Tribal","EPA Region 10","Region 10","Surface water purchased",5439,1661,"Community water system"
"105300012","MAKAH",53009,"Washington","WA","Tribal","EPA Region 10","Region 10","Surface water",1800,678,"Community water system"
"105300013","MUCKLESHOOT",53033,"Washington","WA","Tribal","EPA Region 10","Region 10","Ground water",2600,277,"Community water system"
"105300014","NISQUALLY",53067,"Washington","WA","Tribal","EPA Region 10","Region 10","Ground water",3200,75,"Community water system"
"105300015","PORT GAMBLE S'KLALLAM",53035,"Washington","WA","Tribal","EPA Region 10","Region 10","Ground water",600,203,"Community water system"
"105300016","QUILEUTE WATER SYSTEM",53009,"Washington","WA","Tribal","EPA Region 10","Region 10","Ground water",657,196,"Community water system"
"105300018","TAHOLAH",53027,"Washington","WA","Tribal","EPA Region 10","Region 10","Ground water",1600,290,"Community water system"
"105300019","SHOALWATER BAY",53049,"Washington","WA","Tribal","EPA Region 10","Region 10","Ground water",750,60,"Community water system"
"105300020","SKOKOMISH",53045,"Washington","WA","Tribal","EPA Region 10","Region 10","Ground water",1150,110,"Community water system"
"105300022","WELLPINIT",53065,"Washington","WA","Tribal","EPA Region 10","Region 10","Ground water",530,170,"Community water system"
"105300025","TRIBAL/BIA COMPLEX",53077,"Washington","WA","Tribal","EPA Region 10","Region 10","Ground water",2000,115,"Community water system"
"105300026","WHITE SWAN",53077,"Washington","WA","Tribal","EPA Region 10","Region 10","Ground water",2040,237,"Community water system"
"105300032","SWINOMISH",53057,"Washington","WA","Tribal","EPA Region 10","Region 10","Surface water purchased",1062,426,"Community water system"
"105300042","ADAMS VIEW",53077,"Washington","WA","Tribal","EPA Region 10","Region 10","Ground water",790,158,"Community water system"
"105300087","LOWER ELWHA VALLEY/TRIBAL CENTER",53009,"Washington","WA","Tribal","EPA Region 10","Region 10","Ground water",511,131,"Community water system"
"105300090","PORT SUSAN CAMP CLUB #1",53061,"Washington","WA","Tribal","EPA Region 10","Region 10","Ground water",1500,1187,"Community water system"
"105300091","PORT SUSAN CAMP CLUB #2",53061,"Washington","WA","Tribal","EPA Region 10","Region 10","Ground water",1000,732,"Community water system"
"105300092","PORT SUSAN CAMP CLUB #3",53061,"Washington","WA","Tribal","EPA Region 10","Region 10","Ground water",1000,518,"Community water system"
"105300140","ASPEN ESTATES",53061,"Washington","WA","Tribal","EPA Region 10","Region 10","Surface water purchased",592,185,"Community water system"
"105300146","SQUAXIN CONSOLIDATED",53045,"Washington","WA","Tribal","EPA Region 10","Region 10","Ground water",1500,190,"Community water system"
"AL0000001","AUTAUGA CO WATER AUTHORITY",1001,"Alabama","AL","State","Alabama","Region 4","Ground water",7218,2540,"Community water system"
"AL0000002","AUTAUGAVILLE WATER SYSTEM",1001,"Alabama","AL","State","Alabama","Region 4","Ground water",2088,562,"Community water system"
"AL0000003","BILLINGSLEY WATER SYSTEM",1001,"Alabama","AL","State","Alabama","Region 4","Ground water",1473,480,"Community water system"
"AL0000013","MARBURY WATER SYSTEM, INC.",1001,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",7320,2642,"Community water system"
"AL0000017","PRATTVILLE (WATER WORKS BOARD OF)",1001,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",39603,13858,"Community water system"
"AL0000023","NORTH BALDWIN UTILITIES",1003,"Alabama","AL","State","Alabama","Region 4","Ground water",15795,7720,"Community water system"
"AL0000025","BELFOREST WATER SYSTEM",1003,"Alabama","AL","State","Alabama","Region 4","Ground water",3843,2227,"Community water system"
"AL0000028","PARK CITY WATER AUTHORITY, INC",1003,"Alabama","AL","State","Alabama","Region 4","Ground water purchased",810,420,"Community water system"
"AL0000029","DAPHNE (UTILITIES BOARD OF THE CITY OF)",1003,"Alabama","AL","State","Alabama","Region 4","Ground water",25968,10696,"Community water system"
"AL0000035","FAIRHOPE WATER SYSTEM (CITY OF)",1003,"Alabama","AL","State","Alabama","Region 4","Ground water",38754,17459,"Community water system"
"AL0000036","FOLEY (UTILITIES BOARD OF THE CITY OF)",1003,"Alabama","AL","State","Alabama","Region 4","Ground water",20880,11606,"Community water system"
"AL0000038","GULF SHORES (UTILITIES BOARD CITY OF)",1003,"Alabama","AL","State","Alabama","Region 4","Ground water",23823,10722,"Community water system"
"AL0000048","LOXLEY (TOWN OF)",1003,"Alabama","AL","State","Alabama","Region 4","Ground water",6081,3039,"Community water system"
"AL0000053","ORANGE BEACH WATER, SEWER AND F.P.A.",1003,"Alabama","AL","State","Alabama","Region 4","Ground water",13548,5300,"Community water system"
"AL0000061","ROBERTSDALE (CITY OF)",1003,"Alabama","AL","State","Alabama","Region 4","Ground water",7260,3320,"Community water system"
"AL0000065","SILVERHILL WATER SYSTEM (TOWN OF)",1003,"Alabama","AL","State","Alabama","Region 4","Ground water",1572,785,"Community water system"
"AL0000068","SPANISH FORT WATER SYSTEM",1003,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",9264,3300,"Community water system"
"AL0000073","SUMMERDALE WATER WORKS",1003,"Alabama","AL","State","Alabama","Region 4","Ground water",1071,385,"Community water system"
"AL0000076","WHITE HOUSE WATER SYSTEM, INC.",1003,"Alabama","AL","State","Alabama","Region 4","Ground water purchased",5163,2131,"Community water system"
"AL0000079","BAKERHILL WATER AUTHORITY",1005,"Alabama","AL","State","Alabama","Region 4","Ground water",7128,2376,"Community water system"
"AL0000081","BLUE SPRINGS WATER WORKS",1005,"Alabama","AL","State","Alabama","Region 4","Ground water",600,200,"Community water system"
"AL0000082","CLAYTON WATER WORKS & SEWER",1005,"Alabama","AL","State","Alabama","Region 4","Ground water",2235,745,"Community water system"
"AL0000083","CLIO WATER WORKS",1005,"Alabama","AL","State","Alabama","Region 4","Ground water",2814,938,"Community water system"
"AL0000085","EUFAULA WATER WORKS",1005,"Alabama","AL","State","Alabama","Region 4","Ground water",17958,5990,"Community water system"
"AL0000087","WEST BARBOUR COUNTY WATER AUTHORITY",1005,"Alabama","AL","State","Alabama","Region 4","Ground water",1407,469,"Community water system"
"AL0000088","LOUISVILLE WATER WORKS",1005,"Alabama","AL","State","Alabama","Region 4","Ground water",1380,460,"Community water system"
"AL0000089","MT ANDREW WATER AUTHORITY",1087,"Alabama","AL","State","Alabama","Region 4","Ground water purchased",729,243,"Community water system"
"AL0000091","BRENT UTILITIES BOARD",1007,"Alabama","AL","State","Alabama","Region 4","Ground water",5850,2530,"Community water system"
"AL0000092","CENTREVILLE WATER & SEWER",1007,"Alabama","AL","State","Alabama","Region 4","Ground water",5646,1852,"Community water system"
"AL0000093","GREEN POND WATER SYSTEM",1007,"Alabama","AL","State","Alabama","Region 4","Ground water",6642,2787,"Community water system"
"AL0000095","RANDOLPH WATER SYSTEM",1007,"Alabama","AL","State","Alabama","Region 4","Ground water purchased",1263,421,"Community water system"
"AL0000097","WEST BLOCTON WATER WORKS",1007,"Alabama","AL","State","Alabama","Region 4","Ground water",4140,1690,"Community water system"
