"","PWS.ID","PWS.Name","PWS.Type","Primary.Source","Cities.Served","PopulationServed.Count","Number.of.Facilities","Number.of.Violations","Number.of.Site.Visits","state","Counties.Served_01","Counties.Served_02","Counties.Served_03","Counties.Served_04","Counties.Served_05","Counties.Served_06","Counties.Served_07","Counties.Served_08","Counties.Served_09","Counties.Served_10","county1","county2","county3","county4","county5","county6","county7","county8","county9","county10","county1","county2","county3","county4","county5","county6","county7","county8","county9","county10"
"1","VI0000052","1 & 1A EST. GOLDEN GROVE","Community water system","Surface water","-","202",2,17,0,"VI","St. Croix Island","St. Thomas Island",NA,NA,NA,NA,NA,NA,NA,NA,"78010","78030","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","78010","78030","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA"
"2","LA1085002","A-1 TRAILER PARK","Community water system","Surface water","-","200",1,0,0,"LA","Sabine Parish",NA,NA,NA,NA,NA,NA,NA,NA,NA,"22085","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","22085","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA"
"3","CA5500043","A.C. STILL","Community water system","Surface water","-","119",1,26,0,"CA","Tuolumne",NA,NA,NA,NA,NA,NA,NA,NA,NA,"06109","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","06109","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA"
"4","CA5500046","A.C. STILL","Community water system","Surface water","-","350",2,26,0,"CA","Tuolumne",NA,NA,NA,NA,NA,NA,NA,NA,NA,"06109","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","06109","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA"
"5","MD0120010","A.P.G. - EDGEWOOD AREA","Community water system","Surface water","-","6,200",25,15,25,"MD","Harford",NA,NA,NA,NA,NA,NA,NA,NA,NA,"24025","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","24025","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA"
"6","SC0110001","ABBEVILLE CITY OF (0110001)","Community water system","Surface water","ABBEVILLE","5,362",4,15,28,"SC","Abbeville",NA,NA,NA,NA,NA,NA,NA,NA,NA,"45001","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","45001","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA"
"7","KY0900647","ABBEY OF GETHSEMANI WATER DEPT","Community water system","Surface water","NEW HAVEN","100",2,28,7,"KY","Nelson",NA,NA,NA,NA,NA,NA,NA,NA,NA,"21179","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","21179","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA"
"8","VA6179775","ABEL LAKE WTP","Community water system","Surface water","-","48,000",11,38,15,"VA","Stafford",NA,NA,NA,NA,NA,NA,NA,NA,NA,"51179","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","51179","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA"
"9","SD4600020","ABERDEEN","Community water system","Surface water","ABERDEEN","26,091",19,32,8,"SD","Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,"46013","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","46013","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA"
"10","MD0002848","ABERDEEN PROV GRDS % US ARMY","Community water system","Surface water","-","11,000",12,0,0,"MD","Harford",NA,NA,NA,NA,NA,NA,NA,NA,NA,"24025","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","24025","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA","NANA"
